,sl_no,state,active_total,active_Change_since_yesterday,Cured/Discharged/Migrated_cumulative,Cured/Discharged/Migrated_change_since_yesterday,Deaths_cumulative,Deaths_change_since_yesterday
0,1,Andaman and Nicobar Islands,266, 41  ,201,0,4, 2  
1,2,Andhra Pradesh,69252, 5481  ,60024, 4618  ,1281, 68  
2,3,Arunachal Pradesh,654, 76  ,827, 150  ,3,0
3,4,Assam,9233, 862  ,29080, 1248  ,94, 2  
4,5,Bihar,16845, 1363  ,31350, 1030  ,282, 4  
5,6,Chandigarh,355, 2  ,647, 36  ,14,0
6,7,Chhattisgarh,2789, 66  ,5921, 285  ,51, 3  
7,8,Dadra and Nagar Haveli and Daman and Diu,394, 18  ,668, 20  ,2,0
8,9,Delhi,10743, 27  ,119724, 1091  ,3936, 29  
9,10,Goa,1657, 9  ,4005, 221  ,42, 3  
10,11,Gujarat,13793, 258  ,44074, 879  ,2418, 22  
11,12,Haryana,6497, 301  ,27340, 920  ,417, 4  
12,13,Himachal Pradesh,1105, 48  ,1387, 55  ,14,0
13,14,Jammu and Kashmir,7662, 87  ,11842, 520  ,365, 17  
14,15,Jharkhand,5888, 160  ,4176, 141  ,103, 5  
15,16,Karnataka,69708, 2252  ,46694, 3793  ,2230, 83  
16,17,Kerala,10074, 290  ,12159, 794  ,70, 2  
17,18,Ladakh,277, 16  ,1094, 14  ,7, 1  
18,19,Madhya Pradesh,8454, 97  ,21657, 723  ,857, 14  
19,20,Maharashtra,148454, 2021  ,248615, 8860  ,14729, 266  
20,21,Manipur,829, 10  ,1672, 33  ,4, 4  
21,22,Meghalaya,588, 16  ,210, 3  ,5,0
22,23,Mizoram,174, 9  ,234, 19  ,0,0
23,24,Nagaland,936, 23  ,625, 30  ,5,0
24,25,Odisha,10463, 386  ,19746, 807  ,169, 10  
25,26,Puducherry,1292, 36  ,1958, 84  ,48, 1  
26,27,Punjab,4577, 205  ,10509, 296  ,370, 9  
27,28,Rajasthan,11097, 352  ,28385, 816  ,663, 13  
28,29,Sikkim,395, 2  ,214, 16  ,1,0
29,30,Tamil Nadu,57962, 472  ,178178, 5295  ,3838, 97  
30,31,Telengana,15640, 977  ,44572, 821  ,505, 13  
31,32,Tripura,1723, 63  ,2962, 284  ,21,0
32,33,Uttarakhand,2993, 10  ,3996, 185  ,76, 4  
33,34,Uttar Pradesh,32649, 2652  ,46803, 996  ,1587, 57  
34,35,West Bengal,19900, 248  ,46256, 2140  ,1536, 46  
35,Total,35,545318,17076,1057805,37223,35747,779
